timestamp,merchant,item,sell,buy,spread
2026-01-31 07:16:48,public_gold,999,675,614,61
2026-01-31 07:16:48,public_gold,916,642,558,84
2026-01-31 07:16:48,miga_i,999,650.01,625.26,24.75
2026-01-31 07:23:33,public_gold,999,675,614,61
2026-01-31 07:23:33,public_gold,916,642,558,84
2026-01-31 07:23:33,miga_i,999,650.01,625.26,24.75
2026-01-31 07:47:05,public_gold,999,675,614,61
2026-01-31 07:47:05,public_gold,916,642,558,84
2026-01-31 07:47:05,miga_i,999,650.01,625.26,24.75
2026-01-31 07:50:51,public_gold,999,675,614,61
2026-01-31 07:50:51,public_gold,916,642,558,84
2026-01-31 07:50:51,miga_i,999,650.01,625.26,24.75
2026-01-31 08:26:16,public_gold,999,675,614,61
2026-01-31 08:26:16,public_gold,916,642,558,84
2026-01-31 08:26:16,miga_i,999,650.01,625.26,24.75
